unique_id,category,scenario,initiating_actor,preconditions,exact_expected_flow,relevant_public_endpoint_or_event,expected_status_and_state_transition,idempotency_and_retry_behavior,security_authorization_boundary,current_implementation_status,certification_depth,direct_evidence,missing_work,production_risk,exact_test_needed_to_certify
UC-016,Charges,"Negative, fractional or overflow monetary values",POS,Bill upsert prerequisites.,Minor-unit schema permits integers 0..2147483647; payment amounts must be positive.,Bill/payment routes,422; no write.,Failed idempotency reservation is releasable.,Input validation before downstream financial work.,IMPLEMENTED_AND_TESTED,unit tested,"packages/contracts/src/index.ts:17,75-86; packages/contracts/src/contracts.test.ts:19-25",Fuzz public routes and DB casts.,high,"Test -1, 0 where prohibited, float, max, max+1 and multiplication overflow."
UC-017,Table lifecycle,Assign bill to active mapped table,POS,Mapped tables and an existing/new bill as applicable.,Bill body external_table_id resolves within connection and must be active.,PUT bill; GET /tables,200 accepted or 404 unmapped/inactive.,Bill idempotency/version rules.,Mapping is connection-scoped.,IMPLEMENTED_AND_TESTED,mock integration tested,"apps/api/src/app.ts:182-186,449-454; packages/database/src/supabase-repository.ts:285-302; scripts/certify-real-payment-session.test.ts:59",Remote DB mapping certification.,high,Test active/inactive/mapping from another connection through public API.
UC-018,Table lifecycle,Move open bill to another table,POS,Mapped tables and an existing/new bill as applicable.,Higher-version full snapshot can reference another active mapping; no local session/QR reassignment logic.,PUT bill,Expected 200 with same bill ID and new external_table_id.,Higher version required.,Both tables must be in same connection.,IMPLEMENTED_NOT_FULLY_TESTED,code path only,apps/api/src/app.ts:180-214; docs/pos-partner/BILL_AND_ORDER_SYNC.md:8-9,"Targeted runtime, downstream and customer-link behavior tests.",high,"Move during unpaid, partial and processing states; verify old/new table visibility policy."
UC-019,Table lifecycle,Cancel or close a bill,POS,Mapped tables and an existing/new bill as applicable.,Status enums allow cancelled/completed and snapshots are forwarded; local code does not validate legal terminal transitions.,PUT bill,Expected accepted terminal projection; paid facts preserved.,Higher version; failed commit releases idempotency.,"Financial floor exists in DB, lifecycle policy delegated downstream.",PARTIALLY_IMPLEMENTED,mock cleanup tested,"packages/contracts/src/index.ts:33-42; apps/api/src/app.ts:196-214; scripts/certify-real-payment-session.test.ts:77; docs/pos-partner/BILL_AND_ORDER_SYNC.md:10-11,18",Explicit transition state machine before downstream call and DB integration tests.,critical,Try reopen cancelled/completed bill and cancel paid/processing bill; prove defined outcomes.
UC-020,Table lifecycle,Reuse table for a new guest after closure,POS,Mapped tables and an existing/new bill as applicable.,"New external bill IDs are possible, but there is no current-bill/table-session ownership invariant.",PUT bill,Undefined when old/new bills overlap on same table.,Each bill idempotent independently.,Connection mapping alone does not prevent concurrent table claims.,REQUIRES_PRODUCT_DECISION,documented only,docs/pos-partner/BILL_AND_ORDER_SYNC.md:11-14; supabase/migrations/20260717000100_restec_foundation.sql:13,Single-current-bill rule or explicit multi-bill policy and atomic transition.,high,Open two bills on same table across closure boundary and certify resolver/payment behavior.
UC-021,QR/customer link,Permanent QR/customer URL per table,Customer/POS,Provisioned table and bill lifecycle.,Only per-payment-session opaque checkout URLs exist.,None for table QR; GET /s/{session} for checkout,No table QR state transition.,Not applicable.,Public opaque session ID has environment check; table QR absent.,REQUIRES_PRODUCT_DECISION,documented unsupported,apps/api/src/app.ts:536-646; docs/pos-partner/BILL_AND_ORDER_SYNC.md:14,"Stable public token, ownership, rotation, privacy, abuse and expiry policy.",high,Scan same QR across open/move/close/reuse and verify deterministic current-bill resolution.
UC-022,QR/customer link,Resolve permanent link to current bill,Customer/POS,Provisioned table and bill lifecycle.,No public unauthenticated table/customer resolver route or DB token mapping exists.,None,Expected 200 current payable bill or safe empty/terminal result; absent.,Replay/cache policy undefined.,Must not expose partner/private/table raw IDs.,MISSING,not tested,"apps/api/src/app.ts:119-125,507-795; openapi/restec-pos-partner-v1.yaml:24-247","Resolver endpoint, token table, atomic current-session binding and rate limiting.",critical,"Enumerate tokens, cross-location scans, no-bill, one-bill and conflicting-bill cases."
UC-023,QR/customer link,Update customer link after table movement,Customer/POS,Provisioned table and bill lifecycle.,No QR binding exists to move atomically with bill.,None,Undefined.,Undefined.,Cross-table leakage boundary absent.,MISSING,not tested,docs/pos-partner/BILL_AND_ORDER_SYNC.md:14,Atomic reassignment and old-link behavior decision.,high,Move bill while two customers refresh old/new QR concurrently.
UC-024,QR/customer link,Close link and safely reuse table,Customer/POS,Provisioned table and bill lifecycle.,No closure/tombstone/cache invalidation for customer URL exists.,None,Undefined; risk stale prior guest bill.,Undefined.,Must prevent previous guest from seeing new guest bill/PII.,MISSING,not tested,docs/pos-partner/UAT_TEST_PLAN.md:28; apps/api/src/app.ts:536-715,Privacy-preserving session lifecycle and table reuse rule.,critical,Retain old browser URL through close/new guest and prove no cross-guest data exposure.
UC-025,Digital payments,Create hosted card payment session,POS/customer/provider,Payment sessions enabled and existing matched payable bill.,Valid payable matched bill -> reserve deterministic session -> private create -> allowlist/resolve checkout -> encrypted persistence.,POST /v1/.../payment-sessions,201 requires_customer_action; one active session per bill intended.,Public and private deterministic idempotency; same request replays.,payment_sessions:write; partner/location/environment; rejects cardholder fields.,IMPLEMENTED_AND_TESTED,mock integration tested,apps/api/src/app.ts:274-423; apps/api/src/payment-sessions.test.ts:225; supabase/migrations/20260723000100_payment_sessions.sql:4-48,Remote provider sandbox and Supabase integration certification.,critical,"Run real hosted checkout creation and verify one provider session, encrypted URL, exact public response."
UC-026,Digital payments,Payment moves to processing,POS/customer/provider,Payment sessions enabled and existing matched payable bill.,Verified private event or reconciliation nonterminal status transitions session additively.,POST internal Paely event; GET payment session,202 event accepted; session -> processing; GET 200 processing.,Private event ID deduped; transition no-op on exact duplicate.,Paely HMAC/service/environment plus stored identifier association.,IMPLEMENTED_AND_TESTED,unit/mock tested,apps/api/src/app.ts:795-1077; packages/contracts/src/payment-session-state.ts:3-12; packages/database/src/supabase-repository.integration.test.ts:117,DB integration skipped and no real provider evidence.,high,Deliver processing twice and around checkout refresh; verify one state/no POS financial event.
UC-027,Digital payments,Successful customer payment,POS/customer/provider,Payment sessions enabled and existing matched payable bill.,Verified completed event validates all identities/amount/method/status then atomically updates session/bill/inbox/outbox.,POST internal Paely event; payment.completed webhook,202 then paid; bill paid/partial; outbox pending -> delivered.,Duplicate event returns 200 and no extra outbox.,Private event signature and deep association checks; POS webhook signed.,IMPLEMENTED_AND_TESTED,mock integration tested,apps/api/src/app.ts:909-1077; supabase/migrations/20260731000100_private_event_identifier_validation.sql:10-125; apps/api/src/payment-sessions.test.ts:639,"Real provider, remote DB and real POS certification.",critical,Complete real sandbox card payment and retain one inbox/outbox/POS receipt evidence chain.
UC-028,Digital payments,"Decline, expiry or customer cancellation",POS/customer/provider,Payment sessions enabled and existing matched payable bill.,Signed events or authoritative provider reads terminalize failed/expired/cancelled; browser cancel and local time never release capacity.,Private event; GET /s/.../cancel; reconcile-payment-sessions,Verified terminal -> one state/release/POS event; uncertain provider state retains reservation.,Logical session terminal event dedupes across technical IDs; late paid requires atomic capacity reacquisition.,Private event/provider-read boundary; browser route uses opaque session ID.,IMPLEMENTED_AND_TESTED,unit/mock scheduler tested,"apps/api/src/normal-payment-lifecycle.test.ts; apps/api/src/app.ts; apps/api/src/reconciliation.ts",Real provider sandbox and PostgreSQL race certification.,high,"Suppress browser/webhook, exercise each provider terminal state and retain deployed scheduler evidence."
UC-029,External payments,Report completed cash payment,POS,Existing payable bill and authoritative completed POS fact.,Validate fact -> preflight balance/currency -> private record -> atomic local save -> audit.,POST /external-payments,200; bill amount_paid increases and status partial/paid.,Endpoint idempotency plus external_payment_id dedupe.,payments:write and connection-scoped bill.,IMPLEMENTED_AND_TESTED,route integration with memory/mock,apps/api/src/app.ts:223-272; apps/api/src/pos-partner.test.ts:148; supabase/migrations/20260718000100_restec_final_integration.sql:101-123,Real private/DB certification.,critical,Record full and partial cash against remote sandbox and verify single downstream/local fact.
UC-030,External payments,Report completed physical card-terminal payment,POS,Existing payable bill and authoritative completed POS fact.,Same completed-fact path with method card_terminal.,POST /external-payments,200 partial/paid.,Same as cash; conflicting duplicate -> 409.,No cardholder data allowed by strict schema.,IMPLEMENTED_AND_TESTED,route integration tested,apps/api/src/pos-partner.test.ts:165; packages/contracts/src/index.ts:75-86,Real terminal/POS partner certification.,critical,Send terminal payment and duplicate/conflict from standalone POS simulator and real terminal.
UC-031,External payments,"Wallet-terminal, voucher or approved other",POS,Existing payable bill and authoritative completed POS fact.,Enums accept methods; shared path handles them.,POST /external-payments,200 partial/paid.,Same external ID/idempotency rules.,payments:write; onboarding must govern other meaning.,IMPLEMENTED_NOT_FULLY_TESTED,schema tested,packages/contracts/src/index.ts:77-84; docs/decisions/POS_PAYMENT_OPEN_DECISIONS.md:11,"Per-method runtime tests, processor-reference policy, real POS mapping.",high,Certify each method including metadata/reference and reconciliation export.
UC-032,External payments,"Report pending, declined, cancelled, voided or reversed POS payment",POS,Existing payable bill and authoritative completed POS fact.,Schema accepts only status completed; every unsupported state is route-tested.,POST /external-payments,422 invalid_request; no reservation/private/local financial write.,New supported operation would need new idempotency semantics.,Strict schema and completed-fact trust boundary.,EXPLICITLY_UNSUPPORTED,unit tested,"packages/contracts/src/index.ts; apps/api/src/pos-partner.test.ts; docs/pos-partner/TRADITIONAL_PAYMENT_SYNC.md",Versioned contract only if Phase 5/product adds these operations.,high,Keep deterministic rejection in partner UAT.
UC-033,Partial/mixed,Single partial external payment,POS/customer/provider,Existing bill with positive available capacity.,Amount is reserved before downstream synchronization and committed once.,POST /external-payments,200; unpaid -> partially_paid; due decreases exactly.,Stable external ID/key reuses one reservation.,Shared bill capacity is connection/location/environment scoped.,IMPLEMENTED_AND_TESTED,route/shared-capacity matrix tested,"apps/api/src/financial-concurrency.test.ts; apps/api/src/normal-payment-lifecycle.test.ts; apps/api/src/pos-partner.test.ts",Real PostgreSQL certification.,high,"Pay 30% on Supabase, retry, GET, then pay remainder."
UC-034,Partial/mixed,Multiple sequential POS payments,POS/customer/provider,Existing bill with positive available capacity.,Distinct payments reserve and commit only remaining shared capacity across methods.,POST /external-payments repeatedly,Each reduces due; final -> paid; excess conflicts.,Unique per connection/external ID.,Same bill/location/environment boundary.,IMPLEMENTED_AND_TESTED,exact mixed matrix and stress tested,"apps/api/src/normal-payment-lifecycle.test.ts; apps/api/src/financial-concurrency.test.ts",Real PostgreSQL sequence certification.,high,Cash plus voucher plus terminal against Supabase with exact arithmetic.
UC-035,Partial/mixed,Partial digital payment session,POS/customer/provider,Existing bill with positive amount_due.,Session amount may be below amount_due and event projection supports partially_paid.,POST payment-sessions; payment.completed,201 then paid session; bill remains partially_paid.,One session identity and event dedupe.,Amount cannot exceed balance; PKR/card only.,IMPLEMENTED_AND_TESTED,mock integration tested,"apps/api/src/app.ts:306-317,333-405; apps/api/src/payment-sessions.test.ts:639",Real provider partial checkout certification.,high,Pay half digitally; verify bill due and allow a subsequent payment.
UC-036,Partial/mixed,Mixed simultaneous digital and POS payment,POS/customer/provider,Existing bill with positive available capacity.,Cash terminal and one digital session reserve under one bill lock before downstream effects.,Payment session plus /external-payments,Every approved two-way/three-way combination fits only shared available capacity.,Stable channel identities serialize through one capacity aggregate.,Connection location and environment scoped.,IMPLEMENTED_AND_TESTED,in-memory mixed concurrency and exact matrix tested,"apps/api/src/financial-concurrency.test.ts; apps/api/src/normal-payment-lifecycle.test.ts; docs/pos-partner/PARTIAL_AND_MIXED_PAYMENTS.md",Real mixed-channel PostgreSQL certification.,critical,Race full digital and cash against Supabase and assert one downstream effect.
UC-037,Payment anomalies,Exact duplicate external payment,POS/provider,Existing bill/session and competing or invalid payment fact.,Same external ID/body returns prior state; different body/bill conflicts.,POST /external-payments,200 replay or 409 idempotency_conflict.,Both endpoint key and external ID enforced.,Connection-scoped external ID.,IMPLEMENTED_AND_TESTED,route tested,apps/api/src/pos-partner.test.ts:148-185; packages/database/src/supabase-repository.ts:374-387,Supabase concurrency certification.,critical,Replay after timeout and with new request ID; assert one private/local payment.
UC-038,Payment anomalies,Overpayment attempt,POS/provider,Existing bill/session and competing or invalid payment fact.,Amount above known due rejected before private call; DB rechecks during persist.,External or session create,409 bill_already_paid or 422 amount_exceeds_balance.,Idempotency released on rejection.,Balance and currency validation.,IMPLEMENTED_AND_TESTED,route tested,apps/api/src/app.ts:306-317; packages/database/src/supabase-repository.ts:389-395; apps/api/src/pos-partner.test.ts:254,Concurrent overpayment proof against Supabase.,critical,Race two payments whose sum exceeds due and prove at most due committed downstream and locally.
UC-039,Payment anomalies,Underpayment accepted as partial,POS/provider,Existing bill/session and competing or invalid payment fact.,Positive amount below due is allowed; product minimums/fees/rounding are unspecified.,External payment or session create,200/201; bill partially_paid.,Normal idempotency.,Currency/minor units only.,PARTIALLY_IMPLEMENTED,code path tested indirectly,"packages/contracts/src/index.ts:75-86,100-120; apps/api/src/app.ts:306-317","Minimum amount, residual-cent and fee policy plus tests.",high,"Test 1 minor unit, due-1, repeated micro-payments and provider minimum rejection."
UC-040,Payment anomalies,Amount or currency mismatch,POS/provider,Existing bill/session and competing or invalid payment fact.,External payment compares bill currency; session only PKR; private event matches stored amount/currency.,Payment routes; private event,422/400; no accepted event or financial write.,Retry only with corrected logical request.,Stored session/bill association.,IMPLEMENTED_AND_TESTED,route/mock tested,"apps/api/src/app.ts:312-317,968-976; apps/api/src/pos-partner.test.ts:254; apps/api/src/payment-sessions.test.ts:639",Supabase no-write integration assertion.,critical,Exercise currency/amount mismatch at request and callback boundaries.
UC-041,Concurrency,Concurrent bill updates,Concurrent POS/customer/provider actors,Same existing bill is targeted concurrently.,Revision intent and financial floor are locked before downstream synchronization.,Concurrent PUT bill,One compatible revision proceeds; divergent active revision conflicts.,Same version/body converges on one reservation.,Connection/bill/environment identity.,IMPLEMENTED_NOT_FULLY_TESTED,in-memory race and migration source tested,apps/api/src/app.ts; apps/api/src/financial-concurrency.test.ts; supabase/migrations/20260807000100_financial_capacity_reservations.sql,Real PostgreSQL and delayed-downstream certification.,critical,Fire concurrent revisions on Supabase and prove one downstream mutation.
UC-042,Concurrency,Concurrent distinct external payments against same balance,Concurrent POS/customer/provider actors,Same bill is targeted concurrently.,Each payment reserves capacity before downstream synchronization.,Concurrent POST /external-payments,Only a capacity-fitting set reaches downstream and commits.,Distinct IDs serialize under the bill lock.,Connection bill location and environment scoped.,IMPLEMENTED_NOT_FULLY_TESTED,real HTTP memory and 100-request stress tested,apps/api/src/financial-concurrency.test.ts; apps/api/src/app.ts; supabase/migrations/20260807000100_financial_capacity_reservations.sql,Real PostgreSQL concurrency certification.,critical,Barrier two full payments on Supabase and count one downstream effect.
UC-043,Concurrency,Customer payment completes while POS payment posts,Concurrent POS/customer/provider actors,Digital session owns protected capacity.,Completion atomically converts its reservation while POS can consume only other available capacity.,payment.completed event plus /external-payments,Total committed never exceeds bill capacity.,Event and external identities dedupe under the shared bill lock.,Deep event auth plus connection/location/environment reservation scope.,IMPLEMENTED_NOT_FULLY_TESTED,mixed reservation and authoritative event regression tested,apps/api/src/app.ts; apps/api/src/payment-sessions.test.ts; apps/api/src/financial-concurrency.test.ts; supabase/migrations/20260807000100_financial_capacity_reservations.sql,Real simultaneous event and POS PostgreSQL certification.,critical,Race signed completion and cash against Supabase; assert exact inbox/outbox and totals.
UC-044,Concurrency,Concurrent payment-session creates with different keys,Concurrent POS/customer/provider actors,Same bill is targeted concurrently.,Approved one-active-session policy is enforced by shared reservation and unique constraints before checkout creation.,Concurrent POST payment-sessions,One active session; the other payment_in_progress.,Different keys remain distinct intents.,Same partner/location/bill/environment.,IMPLEMENTED_NOT_FULLY_TESTED,in-memory different-key concurrency and migration tested,apps/api/src/financial-concurrency.test.ts; supabase/migrations/20260807000100_financial_capacity_reservations.sql; supabase/migrations/20260723000100_payment_sessions.sql,Real Supabase/downstream-call certification.,high,Create two different-key sessions simultaneously against Supabase and assert one checkout call.
UC-045,Refunds/reversals,Provider-originated full refund notification,Provider/POS,Original payment exists.,"Event types/state transitions/outbox support refund, but no retained real provider or Supabase certification.",payment.refunded private event -> POS webhook,Session/bill -> refunded; POS event delivered once.,Private event ID dedupe; late invalid transitions rejected.,Signed private event and stored associations.,PARTIALLY_IMPLEMENTED,unit/mock state tested,packages/contracts/src/index.ts:143-149; packages/contracts/src/payment-session-state.ts:7-12; apps/api/src/app.ts:1024-1053,"Real refund source, bill arithmetic, DB/outbox and POS certification.",critical,"Issue real sandbox full refund; verify amounts, session, one webhook, reconciliation."
UC-046,Refunds/reversals,Provider-originated partial refund notification,Provider/POS,Original payment exists.,"partially_refunded exists and can repeat, but exact cumulative amount invariants are delegated to incoming bill/private DB procedure.",payment.partially_refunded event,Paid -> partially_refunded -> refunded as cumulative facts change.,Event dedupe; repeated partial status allowed.,Association checks but eventSchema validates arithmetic formula only.,PARTIALLY_IMPLEMENTED,unit tested,packages/contracts/src/index.ts:147-188; packages/contracts/src/payment-session-state.ts:7-12,Cumulative refund ledger and real provider/DB tests.,critical,"Send multiple partial refunds, duplicate/out-of-order/full completion and validate exact totals."
UC-047,Refunds/reversals,POS initiates full or partial refund,Provider/POS,Original payment exists.,No public refund endpoint or request schema.,None,No transition; partner docs say unsupported.,Undefined.,Would require authorization and original-payment ownership.,EXPLICITLY_UNSUPPORTED,documented unsupported,docs/pos-partner/README.md:12; docs/pos-partner/RESTEC_POS_PARTNER_IMPLEMENTATION_GUIDE.md:40-41,Product/API/payment-domain implementation if required.,critical,Contract-test absent endpoints and future full/partial refund semantics.
UC-048,Refunds/reversals,"Void, reversal, chargeback or dispute lifecycle",Provider/POS,Original payment exists.,"No domain events, schemas, storage, public APIs or reconciliation model for these facts.",None,Undefined.,Undefined.,Original transaction/provider/partner authority not modeled.,MISSING,not tested,"packages/contracts/src/index.ts:131-149,196-225; supabase/migrations/20260717000100_restec_foundation.sql:13-20","Product decisions plus event ledger, APIs, status semantics and certification.",critical,"Certify pre-settlement void, reversal, chargeback open/won/lost and duplicate ordering."
UC-049,POS webhooks,Serialize and sign Restec-to-POS event,Restec worker/POS,Accepted private payment event has created an outbox record.,Canonical event -> strict partner payload -> HMAC headers -> POST.,POS configured webhook URL,2xx accepted; outbox delivered.,Same public event ID retained across attempts.,Per-connection encrypted URL/secret; SSRF checks before delivery.,IMPLEMENTED_AND_TESTED,standalone simulator tested,packages/connectors/canonical-rest/src/index.ts:20-64; packages/connectors/canonical-rest/src/mock-pos-server.test.ts:8,Real POS partner certification and secret rotation.,critical,Verify exact bytes/headers with standalone simulator then real POS.
UC-050,POS webhooks,POS acknowledgement handling,Restec worker/POS,Accepted private payment event has created an outbox record.,200/201/202/204 succeed; other 2xx are treated permanent failure.,POS webhook response,Allowed -> delivered; retryable codes -> pending; other -> dead letter path.,Attempt number unique.,Response body not stored.,IMPLEMENTED_AND_TESTED,standalone simulator tested,packages/connectors/canonical-rest/src/index.ts:65-75; packages/connectors/canonical-rest/src/mock-pos-server.test.ts:8; docs/WEBHOOK_DELIVERY.md:5,Decision/test for 205/206 and oversized/slow bodies.,high,Return each HTTP class and verify outcome/attempt evidence.
